price_date,open,high,low,close,adjclose,volume
"2025-05-22",21145.00,21337.50,21040.00,21310.75,21310.75,444774
"2025-05-21",21414.75,21558.50,21072.75,21156.75,21156.75,437865
"2025-05-20",21513.00,21562.25,21298.00,21447.25,21447.25,437865
"2025-05-19",21310.75,21544.50,21112.50,21527.00,21527.00,520282
"2025-05-16",21396.00,21512.00,21320.25,21506.00,21506.00,419242
"2025-05-15",21379.75,21529.75,21192.00,21400.25,21400.25,542990
"2025-05-14",21250.00,21419.50,21238.25,21392.50,21392.50,513593
"2025-05-13",20954.75,21346.50,20818.00,21278.00,21278.00,526706
"2025-05-12",20398.50,20996.00,20376.75,20948.75,20948.75,638564
"2025-05-09",20157.00,20288.75,20058.00,20136.75,20136.75,453686
"2025-05-08",19934.50,20337.25,19910.75,20148.00,20148.00,567597
"2025-05-07",19809.00,20133.75,19678.75,19961.00,19961.00,597360
"2025-05-06",20014.25,20036.75,19739.00,19876.50,19876.50,514526
"2025-05-05",20181.50,20201.75,19966.00,20055.50,20055.50,418875
"2025-05-02",19782.50,20276.75,19749.50,20195.25,20195.25,517806
"2025-05-01",19834.00,20125.75,19757.25,19870.75,19870.75,588901
"2025-04-30",19599.75,19880.00,19103.75,19658.50,19658.50,713642
"2025-04-29",19478.25,19688.50,19378.00,19642.00,19642.00,565539
"2025-04-28",19524.50,19623.00,19257.25,19528.00,19528.00,514474
"2025-04-25",19405.00,19589.00,19216.25,19535.25,19535.25,587589
"2025-04-24",18826.50,19418.00,18594.75,19322.00,19322.00,599457
"2025-04-23",18646.00,19165.50,18623.75,18804.00,18804.00,733977
"2025-04-22",17914.00,18514.00,17863.75,18385.00,18385.00,619146
"2025-04-21",18306.25,18383.50,17700.00,17922.25,17922.25,484750
"2025-04-17",18391.25,18652.75,18261.50,18380.75,18380.75,629368
"2025-04-16",18790.00,18861.25,18116.25,18385.25,18385.25,683175
"2025-04-15",18902.50,19144.75,18809.00,18960.25,18960.25,525790
"2025-04-14",19225.00,19256.00,18737.50,18934.75,18934.75,570510
"2025-04-11",18464.75,18873.50,18067.00,18807.50,18807.50,667630
"2025-04-10",19266.75,19383.50,17919.00,18484.50,18484.50,975104
"2025-04-09",17220.25,19386.75,16735.00,19288.75,19288.75,1086917
"2025-04-08",17665.00,18357.25,16973.50,17243.75,17243.75,956641
"2025-04-07",17100.00,18361.50,16460.00,17563.25,17563.25,1140389
"2025-04-04",18660.00,18713.00,17387.50,17539.00,17539.00,1199851
"2025-04-03",19020.00,19177.00,18614.00,18675.50,18675.50,893793
"2025-04-02",19600.50,20044.25,19076.75,19758.00,19758.00,835319
"2025-04-01",19411.25,19644.00,19261.25,19604.50,19604.50,790964
"2025-03-31",19319.75,19489.75,18976.75,19439.50,19439.50,842547
"2025-03-28",19995.25,20011.75,19357.50,19457.00,19457.00,696397
"2025-03-27",20046.00,20199.50,19937.25,19990.25,19990.25,634738
"2025-03-26",20511.50,20536.75,20045.00,20116.50,20116.50,620685
"2025-03-25",20353.00,20524.75,20293.00,20488.50,20488.50,470886
"2025-03-24",20050.50,20409.50,20050.50,20374.25,20374.25,555043
"2025-03-21",19690.75,19728.75,19408.00,19450.81,19450.81,605235
"2025-03-20",19746.75,19898.75,19530.25,19678.50,19678.50,116159
"2025-03-19",19496.75,19935.00,19455.50,19746.75,19746.75,210518
"2025-03-18",19821.00,19858.00,19397.75,19496.75,19496.75,360195
"2025-03-17",19668.25,19959.25,19550.50,19831.75,19831.75,584953
"2025-03-14",19312.75,19742.50,19296.75,19712.00,19712.00,742663
"2025-03-13",19572.00,19694.00,19170.00,19249.00,19249.00,761160
"2025-03-12",19412.75,19788.75,19387.00,19618.50,19618.50,702688
"2025-03-11",19440.00,19686.75,19139.25,19399.00,19399.00,857876
"2025-03-10",20147.00,20156.50,19272.25,19452.75,19452.75,798366
"2025-03-07",20214.50,20286.25,19765.50,20229.75,20229.75,763257
"2025-03-06",20605.25,20647.50,20003.00,20089.25,20089.25,763150
"2025-03-05",20555.00,20725.00,20215.00,20665.00,20665.00,783638
"2025-03-04",20527.00,20732.50,20075.25,20399.00,20399.00,958071
"2025-03-03",21005.25,21121.00,20316.75,20468.25,20468.25,833041
"2025-02-28",20649.50,20944.25,20460.50,20919.50,20919.50,845890
"2025-02-27",21249.00,21386.50,20583.25,20605.75,20605.75,854180
"2025-02-26",21230.50,21409.25,21055.00,21187.00,21187.00,646236
"2025-02-25",21442.50,21453.75,20990.00,21149.00,21149.00,805678
"2025-02-24",21700.75,21813.00,21407.50,21420.25,21420.25,670634
"2025-02-21",22136.00,22245.50,21652.75,21679.25,21679.25,708349
"2025-02-20",22213.00,22235.50,21951.00,22141.75,22141.75,563585
"2025-02-19",22224.50,22299.75,22118.00,22250.50,22250.50,496442
"2025-02-18",22235.75,22319.75,22102.75,22232.25,22232.25,567203
"2025-02-14",22071.00,22225.00,22042.50,22196.25,22196.25,433212
"2025-02-13",21861.25,22124.00,21753.00,22113.25,22113.25,536739
"2025-02-12",21794.25,21862.50,21510.75,21804.75,21804.75,545408
"2025-02-11",21832.00,21871.50,21669.50,21786.75,21786.75,423200
"2025-02-10",21463.25,21894.00,21418.00,21846.50,21846.50,391625
"2025-02-07",21817.75,21968.00,21552.75,21590.75,21590.75,598869
